CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full Name
11000,MR.,JON,YANG,04-08-1966,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional, ,JON  YANG
11001,MR.,EUGENE,HUANG,5/14/1965,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N,EUGENE  HUANG
11002,MR.,RUBEN,TORRES,08-12-1965,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y,RUBEN  TORRES
11003,MS.,CHRISTY,ZHU,2/15/1968,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,CHRISTY  ZHU
11004,MRS.,ELIZABETH,JOHNSON,08-08-1968,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y,ELIZABETH  JOHNSON
11005,MR.,JULIO,RUIZ,08-05-1965,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y,JULIO  RUIZ
11007,MR.,MARCO,MEHTA,05-09-1964,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y,MARCO  MEHTA
11008,MRS.,ROBIN,VERHOFF,07-07-1964,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y,ROBIN  VERHOFF
11009,MR.,SHANNON,CARLSON,04-01-1964,S,M,shannon38@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,SHANNON  CARLSON
11010,MS.,JACQUELYN,SUAREZ,02-06-1964,S,F,jacquelyn20@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,JACQUELYN  SUAREZ
11011,MR.,CURTIS,LU,11-04-1963,M,M,curtis9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y,CURTIS  LU
11012,MRS.,LAUREN,WALKER,1/18/1968,M,F,lauren41@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y,LAUREN  WALKER
11013,MR.,IAN,JENKINS,08-06-1968,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y,IAN  JENKINS
11014,MRS.,SYDNEY,BENNETT,05-09-1968,S,F,sydney23@adventure-works.com,"$100,000 ",3,Bachelors,Management,N,SYDNEY  BENNETT
11015,MS.,CHLOE,YOUNG,2/27/1979,S,F,chloe23@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,N,CHLOE  YOUNG
